"id","sex","height"
9150733,"MALE",181
1905568,"MALE",186
9651981,"MALE",191
1846213,"MALE",175
1807861,"FEMALE",175
3979082,"MALE",185
4130418,"MALE",188
4488067,"MALE",169
6158300,"MALE",180
5794757,"MALE",177
8434154,"MALE",176
3405611,"MALE",187
1089679,"FEMALE",160
7141231,"MALE",171
9367505,"MALE",164
5126638,"MALE",187
9869811,"MALE",174
8196567,"MALE",188
6206139,"MALE",173
1311101,"FEMALE",177
5971944,"MALE",179
7270055,"FEMALE",170
6919735,"MALE",186
4531161,"FEMALE",174
8900326,"FEMALE",149
8056103,"MALE",176
4145772,"MALE",166
2352681,"FEMALE",159
9900372,"MALE",165
4994057,"MALE",196
2087002,"MALE",187
3949074,"FEMALE",156
8465378,"FEMALE",148
4632219,"FEMALE",164
3775311,"MALE",179
3173332,"MALE",179
8007016,"MALE",171
4742686,"MALE",158
5205272,"MALE",169
1264088,"FEMALE",158
6927180,"MALE",175
4858006,"MALE",179
3904216,"FEMALE",167
7093194,"FEMALE",155
6402520,"FEMALE",158
4830310,"MALE",160
3046967,"FEMALE",176
9306574,"MALE",165
5383258,"MALE",181
5586262,"FEMALE",164
2708822,"MALE",173
2340014,"FEMALE",173
3557964,"MALE",175
9174732,"FEMALE",159
1738366,"FEMALE",164
4984888,"FEMALE",161
2204011,"FEMALE",163
5596927,"FEMALE",166
5894355,"MALE",157
7604157,"MALE",168
4245327,"FEMALE",152
3689533,"MALE",172
9479711,"MALE",166
9011718,"MALE",166
8125356,"FEMALE",183
2507002,"MALE",179
8727046,"MALE",176
6993670,"MALE",169
6076234,"MALE",187
5521442,"FEMALE",170
7404356,"MALE",174
5667803,"FEMALE",181
6492084,"FEMALE",177
3535720,"MALE",184
9211553,"MALE",165
3698382,"FEMALE",160
2704189,"FEMALE",186
9020273,"FEMALE",180
8967249,"FEMALE",172
3509255,"FEMALE",177
6691601,"MALE",172
9239687,"MALE",175
3148894,"FEMALE",174
2086731,"FEMALE",177
7870087,"MALE",177
6715752,"FEMALE",162
5496317,"FEMALE",188
8152088,"FEMALE",180
7315711,"FEMALE",167
1429242,"FEMALE",172
1885894,"FEMALE",144
9666021,"FEMALE",174
1753157,"MALE",177
3865251,"FEMALE",176
2343714,"FEMALE",146
4660525,"FEMALE",164
2610111,"MALE",175
3674770,"MALE",170
6814112,"FEMALE",147
4538471,"FEMALE",141
6828863,"FEMALE",164
8883883,"FEMALE",149
4045964,"MALE",182
6980394,"FEMALE",178
5919385,"FEMALE",168
4937338,"FEMALE",143
1818014,"MALE",182
6208793,"MALE",180
3272478,"FEMALE",155
1843117,"FEMALE",170
3171277,"MALE",182
1583416,"MALE",167
7198184,"FEMALE",175
8490348,"FEMALE",156
5269856,"FEMALE",161
5753269,"FEMALE",162
8240448,"MALE",187
8937929,"MALE",171
5654378,"FEMALE",168
3911826,"MALE",163
4649199,"MALE",162
3120129,"MALE",187
3584950,"FEMALE",162
8141051,"MALE",171
2298590,"MALE",174
7736538,"FEMALE",154
3011914,"FEMALE",178
6182531,"MALE",164
9543751,"FEMALE",172
9514997,"MALE",182
6602220,"MALE",180
2298037,"MALE",181
2061103,"FEMALE",176
6451988,"MALE",163
5643558,"MALE",162
9985835,"MALE",189
6635234,"FEMALE",171
6666921,"MALE",166
2639968,"FEMALE",168
6971741,"MALE",168
4887512,"FEMALE",160
5366053,"MALE",159
1352728,"FEMALE",174
4861601,"MALE",173
2206323,"FEMALE",155
4944522,"MALE",166
9761412,"MALE",178
1280239,"MALE",192
5010969,"FEMALE",163
7259076,"FEMALE",167
9195912,"FEMALE",174
8909029,"MALE",157
2358932,"FEMALE",155
9253998,"MALE",177
4619285,"MALE",171
6678244,"FEMALE",137
9748838,"MALE",175
5729774,"MALE",168
8344504,"FEMALE",174
4911793,"MALE",172
4033819,"MALE",177
8195255,"FEMALE",172
4206698,"FEMALE",160
2024429,"MALE",165
2254365,"FEMALE",178
9740137,"MALE",173
7756359,"FEMALE",173
4887010,"FEMALE",150
3812309,"FEMALE",165
4462434,"FEMALE",155
8899518,"FEMALE",152
7050670,"MALE",189
4436016,"FEMALE",160
3227111,"MALE",188
2351823,"MALE",170
4864571,"FEMALE",168
3231900,"FEMALE",167
8985860,"FEMALE",149
2542285,"FEMALE",184
8613573,"MALE",176
5817549,"FEMALE",178
8993980,"MALE",184
9356606,"FEMALE",184
1060450,"FEMALE",161
6356057,"FEMALE",171
3286889,"MALE",175
4553502,"MALE",188
5946032,"MALE",168
5603585,"FEMALE",152
7925205,"MALE",162
4716744,"MALE",162
5543966,"MALE",184
6900933,"MALE",173
1733878,"MALE",172
7020947,"MALE",183
4383321,"FEMALE",162
4583370,"MALE",172
1774806,"FEMALE",163
9853877,"FEMALE",178
7959021,"FEMALE",147
8034811,"MALE",178
8311640,"MALE",189
9636024,"MALE",162
1883989,"MALE",176
7910825,"FEMALE",161
3169150,"MALE",184
8204105,"MALE",166
2809689,"MALE",175
7979084,"FEMALE",160
5966100,"FEMALE",160
3995091,"MALE",180
8430246,"FEMALE",158
3611789,"FEMALE",152
5319014,"MALE",158
9477468,"FEMALE",158
2669218,"MALE",178
9902808,"MALE",184
9540651,"FEMALE",159
2675330,"MALE",184
4766629,"FEMALE",173
3254652,"MALE",171
1180853,"MALE",189
5057315,"MALE",177
2568585,"MALE",161
6598639,"MALE",171
4941066,"FEMALE",157
2010435,"FEMALE",159
2246536,"FEMALE",173
1650856,"FEMALE",175
2990415,"MALE",177
5849417,"FEMALE",143
3145032,"MALE",171
7341326,"FEMALE",177
5321335,"FEMALE",175
1721483,"MALE",181
3589858,"MALE",175
8687854,"FEMALE",156
4823001,"MALE",182
2591846,"FEMALE",164
6897259,"FEMALE",165
8046376,"FEMALE",158
4467987,"MALE",164
9275042,"MALE",179
9307912,"FEMALE",179
8363653,"MALE",168
1500920,"MALE",167
1433261,"MALE",170
1706026,"FEMALE",165
9388343,"MALE",181
2131591,"MALE",173
3887036,"FEMALE",162
8065915,"MALE",171
2857146,"MALE",179
3112012,"MALE",178
5203056,"MALE",180
8248787,"FEMALE",165
6092747,"MALE",175
6365159,"FEMALE",171
5847895,"MALE",172
5822117,"FEMALE",156
8692819,"FEMALE",168
8276617,"MALE",171
4195723,"FEMALE",166
8062167,"MALE",171
9954872,"FEMALE",172
6780702,"MALE",168
5075841,"MALE",175
1362278,"MALE",196
4267196,"MALE",176
5965695,"MALE",173
8642185,"FEMALE",179
6265095,"FEMALE",156
5335605,"FEMALE",183
8395768,"MALE",171
3969816,"FEMALE",156
4020480,"FEMALE",175
3808454,"MALE",171
8272464,"MALE",157
8487848,"MALE",177
5371916,"MALE",174
9310342,"MALE",161
1082314,"MALE",159
1492869,"FEMALE",194
3533715,"FEMALE",146
2822456,"MALE",199
4648937,"MALE",182
1529776,"FEMALE",153
9366763,"FEMALE",162
3864492,"FEMALE",187
4977573,"FEMALE",163
4396950,"MALE",190
1900591,"MALE",173
9910370,"FEMALE",181
9965186,"FEMALE",158
4152842,"FEMALE",164
2923100,"MALE",160
7974259,"FEMALE",157
3625271,"MALE",176
9504449,"FEMALE",178
8265331,"FEMALE",144
4417827,"MALE",182
6611446,"MALE",184
2582624,"FEMALE",156
3923826,"MALE",195
7683765,"MALE",175
7684766,"FEMALE",157
3225037,"FEMALE",171
2316492,"MALE",169
7000993,"MALE",153
3420384,"MALE",177
3676561,"MALE",187
6908798,"MALE",174
1253554,"FEMALE",163
5196190,"MALE",189
4467363,"MALE",162
7925526,"MALE",174
2495658,"MALE",163
9641857,"MALE",178
6193133,"MALE",152
4069818,"FEMALE",177
4588070,"MALE",181
2044766,"MALE",164
1004962,"MALE",188
9816710,"FEMALE",158
4799043,"MALE",182
6962086,"FEMALE",157
1115777,"FEMALE",168
1502135,"MALE",184
5193900,"FEMALE",161
6194783,"MALE",155
5987903,"MALE",193
2536292,"MALE",182
7084712,"FEMALE",172
2859010,"FEMALE",162
9065090,"MALE",192
1948186,"MALE",165
2453502,"MALE",174
7220983,"MALE",180
9380996,"FEMALE",160
8807335,"MALE",175
3343849,"MALE",186
8609070,"FEMALE",182
4584001,"FEMALE",161
9561819,"FEMALE",152
6119588,"MALE",175
8939222,"FEMALE",168
2046604,"FEMALE",169
1639525,"MALE",179
6963700,"FEMALE",147
6430425,"MALE",165
6161803,"FEMALE",172
6884179,"MALE",158
3899622,"FEMALE",174
9472583,"MALE",188
7954862,"FEMALE",170
1843205,"MALE",179
4001699,"MALE",187
7100554,"FEMALE",163
7128268,"MALE",174
7532410,"MALE",168
7750503,"MALE",187
3099850,"FEMALE",156
3084150,"FEMALE",156
8523259,"FEMALE",175
6827468,"FEMALE",173
9489803,"FEMALE",166
6726675,"FEMALE",162
1895319,"MALE",169
3753327,"FEMALE",147
4468441,"MALE",156
5167167,"FEMALE",152
8113112,"FEMALE",165
9996913,"MALE",189
5655926,"MALE",156
5892702,"FEMALE",164
1047215,"MALE",171
7795037,"MALE",154
4278912,"MALE",189
4096388,"MALE",179
5986778,"MALE",171
4961399,"MALE",167
1834852,"FEMALE",177
2182556,"FEMALE",161
2190581,"MALE",167
2432380,"MALE",181
9210109,"FEMALE",159
3447898,"MALE",182
5608430,"MALE",174
5916109,"FEMALE",181
4503486,"MALE",183
7837012,"FEMALE",167
2018569,"MALE",166
7103333,"MALE",183
6900908,"MALE",168
5169967,"FEMALE",159
7177140,"FEMALE",183
8493347,"MALE",163
2625623,"MALE",183
9888491,"FEMALE",153
4012968,"MALE",171
6292639,"FEMALE",173
5394043,"MALE",166
6165164,"FEMALE",159
5021452,"MALE",194
8361996,"MALE",169
8254244,"MALE",183
2755798,"FEMALE",174
1497257,"FEMALE",149
7527050,"FEMALE",170
3392097,"MALE",176
2582642,"MALE",172
8084987,"MALE",175
3464402,"MALE",161
8476246,"MALE",179
4127798,"MALE",159
1105693,"FEMALE",160
8732853,"FEMALE",162
7510665,"MALE",185
1941825,"FEMALE",177
7835242,"MALE",189
6669034,"FEMALE",154
1024749,"MALE",164
5712045,"MALE",174
2502982,"FEMALE",165
1294182,"FEMALE",171
2062582,"FEMALE",166
8411123,"FEMALE",145
7621314,"MALE",149
7705209,"FEMALE",164
1519965,"FEMALE",175
8739914,"MALE",191
2200179,"MALE",179
2931431,"FEMALE",154
4447683,"FEMALE",165
7262873,"FEMALE",160
5438679,"FEMALE",162
5421030,"MALE",166
2905004,"FEMALE",160
4971873,"MALE",166
8276535,"FEMALE",159
9421113,"MALE",161
9570159,"FEMALE",181
4207541,"FEMALE",172
1803127,"FEMALE",167
6943741,"MALE",189
1168897,"MALE",194
1603865,"MALE",193
3855309,"FEMALE",160
7056559,"FEMALE",165
2853224,"FEMALE",178
5248683,"FEMALE",175
5469073,"FEMALE",170
2199071,"MALE",190
4677105,"FEMALE",168
5664224,"MALE",188
2751871,"MALE",168
3986356,"FEMALE",178
1843112,"MALE",177
2938776,"FEMALE",159
5236927,"MALE",174
5109391,"FEMALE",166
2309665,"FEMALE",169
1867976,"FEMALE",149
5385931,"FEMALE",157
1593692,"MALE",182
5126298,"MALE",185
3409854,"FEMALE",169
6415352,"FEMALE",173
4812948,"FEMALE",171
4102683,"MALE",180
3964738,"FEMALE",183
5949940,"MALE",185
6147268,"MALE",177
5284245,"MALE",191
8975357,"FEMALE",154
4817243,"FEMALE",160
9657401,"MALE",181
1116407,"FEMALE",149
2536678,"MALE",173
2992935,"FEMALE",161
7987919,"FEMALE",190
3712571,"MALE",179
4991268,"MALE",171
1183035,"FEMALE",164
8214460,"MALE",171
6210526,"MALE",178
9632497,"FEMALE",149
1019452,"MALE",171
3472716,"FEMALE",147
7502071,"FEMALE",155
5768036,"MALE",170
7313836,"MALE",168
6754776,"FEMALE",168
8592906,"FEMALE",158
4774213,"FEMALE",173
8605172,"MALE",168
2746381,"FEMALE",171
3128604,"MALE",203
4425440,"FEMALE",168
9834217,"MALE",164
3807438,"FEMALE",162
1218230,"MALE",174
2145491,"FEMALE",165
1104125,"MALE",200
5049940,"FEMALE",177
3551041,"MALE",171
8039123,"MALE",168
6765910,"FEMALE",169
4928819,"FEMALE",176
4838833,"FEMALE",179
5372908,"MALE",159
6301684,"MALE",182
7516704,"MALE",176
8599167,"MALE",185
3069777,"FEMALE",168
8030252,"MALE",171
5522714,"MALE",187
9003840,"FEMALE",182
1618230,"FEMALE",169
1959025,"MALE",183
7348440,"MALE",180
5002181,"MALE",173
4817115,"MALE",196
3421698,"FEMALE",170
1493869,"FEMALE",150
1614042,"MALE",176
6260414,"FEMALE",157
9264121,"FEMALE",172
5692861,"MALE",162
7544312,"MALE",167
4165469,"FEMALE",168
7136930,"FEMALE",165
2222117,"FEMALE",153
9414795,"FEMALE",170
2938457,"MALE",175
7886811,"FEMALE",161
3587108,"MALE",182
8608619,"FEMALE",170
7087872,"FEMALE",173
9577724,"MALE",156
3047478,"MALE",170
4718790,"FEMALE",169
5354098,"FEMALE",148
9041548,"FEMALE",158
9617049,"FEMALE",166
1836928,"MALE",169
5859502,"MALE",165
5843417,"MALE",167
9609269,"FEMALE",158
8507243,"FEMALE",152
9734434,"MALE",161
8396705,"FEMALE",167
2383754,"FEMALE",165
1039780,"MALE",165
2512430,"MALE",174
5864641,"FEMALE",158
8813256,"MALE",178
9500146,"FEMALE",156
5391654,"FEMALE",157
3597961,"FEMALE",144
6981961,"FEMALE",162
6116147,"FEMALE",156
9957852,"MALE",170
4459755,"FEMALE",160
9179229,"MALE",158
3061992,"MALE",156
5111296,"FEMALE",174
4200947,"MALE",173
1535483,"MALE",186
9910512,"MALE",178
6081452,"FEMALE",174
7281073,"MALE",178
7545537,"FEMALE",159
6583350,"MALE",169
8298693,"FEMALE",144
6809715,"MALE",192
9235004,"MALE",169
2938954,"MALE",168
1043688,"FEMALE",181
7721671,"MALE",186
9500325,"MALE",185
6770208,"MALE",187
2601292,"FEMALE",144
1613777,"FEMALE",161
4079821,"MALE",179
5618059,"FEMALE",151
8406828,"FEMALE",160
9957323,"FEMALE",171
4422429,"MALE",171
7992615,"MALE",174
4780895,"FEMALE",165
1842219,"FEMALE",172
4086834,"FEMALE",169
5140539,"MALE",160
4919017,"MALE",182
1272120,"MALE",186
6578759,"FEMALE",159
8872966,"MALE",167
3639900,"MALE",157
2264421,"FEMALE",176
8216472,"FEMALE",163
7526166,"MALE",173
2288985,"FEMALE",160
8336145,"MALE",176
9216351,"FEMALE",167
4774753,"FEMALE",164
8955825,"MALE",179
8704174,"FEMALE",157
4625935,"FEMALE",191
1471281,"FEMALE",157
7329826,"MALE",181
9782329,"MALE",182
7410714,"FEMALE",149
1609800,"MALE",175
6500973,"FEMALE",156
3698703,"MALE",162
3449017,"FEMALE",163
2671227,"MALE",171
9008203,"FEMALE",168
1148333,"FEMALE",162
9863803,"MALE",152
4172781,"FEMALE",175
4784478,"MALE",173
7392265,"FEMALE",167
5214114,"MALE",170
2954531,"FEMALE",148
3889867,"FEMALE",157
9264220,"FEMALE",156
5115753,"MALE",173
6759523,"MALE",192
8146203,"MALE",182
3069557,"FEMALE",166
3638673,"FEMALE",187
3818694,"MALE",179
7264416,"MALE",185
4062399,"MALE",179
3905252,"FEMALE",161
3164013,"MALE",162
4795328,"MALE",174
8713474,"MALE",155
4133042,"FEMALE",154
7253741,"FEMALE",169
1987470,"FEMALE",170
9249850,"FEMALE",155
4309271,"FEMALE",179
6073912,"MALE",165
5112047,"FEMALE",156
6785973,"MALE",179
8900821,"FEMALE",154
1211060,"MALE",202
6270006,"MALE",169
7157762,"MALE",170
7119650,"FEMALE",168
3672302,"FEMALE",163
1247572,"FEMALE",158
9518572,"FEMALE",156
9591469,"MALE",177
3871630,"FEMALE",151
5766105,"MALE",178
9760127,"FEMALE",171
2845635,"FEMALE",157
4634020,"MALE",179
6828494,"FEMALE",180
1215597,"MALE",171
2284381,"MALE",190
2792979,"MALE",183
7162656,"FEMALE",179
6792834,"FEMALE",176
8788952,"FEMALE",183
1532670,"FEMALE",172
1913022,"MALE",196
7232799,"FEMALE",156
2296665,"MALE",170
6198693,"MALE",155
3349166,"FEMALE",157
1545094,"FEMALE",166
6181289,"MALE",177
1524305,"FEMALE",165
8694350,"MALE",160
3965334,"FEMALE",164
7271084,"MALE",174
5312352,"FEMALE",146
1552909,"MALE",183
8452001,"MALE",184
5292468,"MALE",175
2297228,"FEMALE",149
4128061,"MALE",168
5551564,"FEMALE",175
1204778,"MALE",155
5197094,"FEMALE",150
6771063,"MALE",174
1044317,"MALE",183
4846517,"FEMALE",175
5881002,"FEMALE",179
7429476,"MALE",159
4146787,"FEMALE",165
6550635,"FEMALE",156
6565817,"FEMALE",161
7332578,"FEMALE",156
3313398,"FEMALE",159
8071695,"MALE",185
1332696,"FEMALE",171
6462327,"FEMALE",150
3493068,"MALE",166
2544993,"MALE",176
3752953,"FEMALE",142
1870154,"MALE",169
4234655,"MALE",180
2022255,"MALE",185
9651676,"MALE",180
4068407,"FEMALE",171
2721507,"MALE",177
5499488,"FEMALE",175
5317549,"MALE",165
4385083,"FEMALE",177
1849491,"FEMALE",173
5787792,"FEMALE",184
6319130,"MALE",162
2462128,"FEMALE",172
1324573,"FEMALE",147
7453587,"FEMALE",150
4644052,"MALE",180
3880318,"FEMALE",185
1192720,"FEMALE",179
3471210,"MALE",189
5176526,"FEMALE",154
3878350,"MALE",149
2787768,"FEMALE",169
2019225,"FEMALE",167
7577188,"FEMALE",179
1432827,"MALE",181
3742846,"MALE",167
5523601,"MALE",188
8019879,"FEMALE",166
5737477,"FEMALE",158
9499558,"FEMALE",175
3309573,"FEMALE",176
4861984,"MALE",181
8666471,"FEMALE",166
9488638,"MALE",177
1384967,"MALE",179
6514876,"MALE",173
7069634,"FEMALE",176
6067919,"MALE",182
1507225,"FEMALE",169
8200864,"FEMALE",156
2386241,"MALE",195
1249228,"FEMALE",165
2979987,"MALE",174
1298337,"MALE",174
3286421,"MALE",171
7814206,"FEMALE",164
8366847,"MALE",200
9031809,"FEMALE",165
6830042,"MALE",170
8991017,"MALE",173
3760440,"FEMALE",167
6337736,"MALE",171
4496968,"FEMALE",168
8586004,"FEMALE",187
2567333,"FEMALE",172
5885063,"FEMALE",166
4843637,"MALE",179
6011610,"MALE",168
6254857,"MALE",165
8432186,"MALE",178
9202808,"FEMALE",155
2692898,"MALE",187
6640756,"MALE",171
2537175,"MALE",194
9244259,"MALE",176
3080288,"MALE",177
3856840,"FEMALE",166
1306597,"FEMALE",162
2511254,"FEMALE",172
2508474,"FEMALE",161
2801705,"FEMALE",176
2259638,"MALE",180
6170521,"FEMALE",164
7533839,"MALE",177
4459569,"FEMALE",155
5535328,"MALE",155
8654897,"MALE",171
2483189,"FEMALE",177
1179448,"FEMALE",172
9373731,"FEMALE",145
8175368,"FEMALE",171
5591546,"FEMALE",169
3057622,"FEMALE",146
6581341,"FEMALE",161
9675171,"MALE",181
4442469,"MALE",187
2757481,"MALE",174
1188541,"FEMALE",148
6253069,"MALE",157
1775169,"FEMALE",172
1919706,"MALE",180
3541768,"MALE",191
7531370,"FEMALE",150
5795876,"FEMALE",178
6988073,"MALE",165
3435555,"FEMALE",161
7649185,"MALE",190
7848672,"FEMALE",159
8050008,"MALE",152
4609280,"FEMALE",167
9068702,"FEMALE",161
7345099,"FEMALE",139
8329898,"FEMALE",153
8969220,"MALE",179
7308388,"MALE",168
1509710,"FEMALE",168
6321788,"FEMALE",167
1479357,"MALE",167
7723871,"FEMALE",167
7002029,"MALE",177
8911953,"MALE",186
3364984,"FEMALE",171
8313859,"MALE",179
6331849,"MALE",155
2282325,"MALE",177
7709924,"FEMALE",172
2355993,"FEMALE",153
3976084,"FEMALE",160
7236636,"FEMALE",178
5342426,"MALE",184
5999267,"MALE",169
9939925,"FEMALE",169
3328669,"FEMALE",170
3461704,"FEMALE",171
6223106,"FEMALE",163
7478549,"MALE",170
3655213,"MALE",166
1477080,"MALE",178
7567828,"MALE",163
1479324,"FEMALE",144
8190786,"FEMALE",157
6353391,"FEMALE",178
8088562,"FEMALE",166
8405601,"FEMALE",167
5189966,"MALE",180
8121117,"MALE",162
2299715,"FEMALE",157
9152156,"MALE",173
5310262,"FEMALE",153
5955083,"FEMALE",169
3777167,"MALE",188
9675801,"MALE",169
6580114,"MALE",172
1645448,"MALE",181
2165144,"MALE",186
1120291,"MALE",165
8916729,"FEMALE",157
3415011,"MALE",173
6360681,"MALE",154
7980482,"FEMALE",182
7298400,"MALE",162
4514877,"FEMALE",172
1135466,"MALE",162
1982278,"FEMALE",173
2544538,"FEMALE",171
1146385,"MALE",182
1093109,"FEMALE",165
1034221,"FEMALE",162
6786407,"FEMALE",183
7290561,"MALE",164
3606773,"FEMALE",171
6252653,"FEMALE",161
7685329,"FEMALE",169
4632045,"FEMALE",179
5846215,"MALE",169
1566738,"MALE",176
4418131,"MALE",180
4034215,"MALE",166
8480063,"FEMALE",179
9892753,"MALE",165
4827593,"FEMALE",152
3113653,"FEMALE",179
6653359,"FEMALE",167
8756842,"FEMALE",161
3845391,"MALE",184
7802314,"FEMALE",156
1237804,"MALE",179
1823492,"FEMALE",164
6161683,"MALE",173
8904173,"FEMALE",165
7230900,"FEMALE",166
3982661,"MALE",165
1235480,"FEMALE",157
8433285,"FEMALE",168
3578023,"MALE",172
1179543,"FEMALE",148
5031042,"FEMALE",153
8938292,"FEMALE",179
7898641,"MALE",169
1602026,"MALE",181
7482511,"MALE",169
5587229,"MALE",175
1290418,"MALE",185
7399362,"MALE",163
9694745,"MALE",165
1759762,"MALE",180
8057276,"FEMALE",149
4623748,"FEMALE",182
8113937,"MALE",174
5044254,"MALE",155
2422761,"FEMALE",159
5842137,"MALE",181
9549885,"MALE",166
3290731,"FEMALE",162
3512049,"MALE",185
6546450,"FEMALE",141
8361784,"MALE",186
2264363,"MALE",174
9717786,"MALE",166
1308044,"FEMALE",157
8210646,"MALE",167
2051308,"MALE",172
5299844,"FEMALE",153
5433922,"MALE",186
2593454,"FEMALE",166
8117843,"MALE",178
3633907,"FEMALE",162
8395042,"FEMALE",159
4973244,"MALE",165
2990239,"FEMALE",154
4725443,"MALE",177
8860704,"FEMALE",166
1727447,"MALE",165
4783055,"MALE",182
2100764,"FEMALE",163
8010147,"MALE",181
9217449,"FEMALE",157
8697863,"FEMALE",192
6447071,"MALE",175
9912584,"FEMALE",167
8887773,"MALE",172
6851857,"MALE",177
5678138,"MALE",169
7733667,"FEMALE",162
8457923,"MALE",186
7527192,"FEMALE",150
4946541,"MALE",191
7777135,"FEMALE",178
5536129,"MALE",185
1572203,"FEMALE",163
2477019,"FEMALE",157
7314450,"MALE",167
7067051,"FEMALE",165
4494332,"FEMALE",175
1898121,"MALE",169
1601930,"MALE",178
2993925,"FEMALE",155
7636517,"MALE",179
9758858,"MALE",174
6429351,"MALE",182
9669662,"FEMALE",150
3385617,"MALE",171
8536429,"MALE",170
8080021,"FEMALE",157
6854936,"MALE",182
8229151,"FEMALE",170
9933954,"FEMALE",174
5128301,"MALE",182
1732565,"MALE",174
9933194,"FEMALE",167
3741873,"MALE",178
4713357,"FEMALE",165
4734657,"MALE",185
5993999,"FEMALE",166
9527274,"FEMALE",148
1695338,"FEMALE",173
5357483,"FEMALE",150
7422528,"FEMALE",153
6604746,"MALE",184
6841363,"MALE",176
3685957,"MALE",161
2357892,"FEMALE",170
4676711,"MALE",170
3029737,"MALE",165
4845027,"FEMALE",169
5887373,"MALE",194
9283416,"MALE",175
7979640,"FEMALE",155
5178645,"MALE",178
3847347,"FEMALE",157
5182151,"MALE",161
1779178,"MALE",163
8685230,"FEMALE",174
6746931,"MALE",168
5859182,"FEMALE",166
8455657,"MALE",179
1235545,"FEMALE",162
3768640,"FEMALE",169
3316217,"FEMALE",189
4517703,"FEMALE",163
4785970,"MALE",169
5562384,"FEMALE",159
7851041,"MALE",168
7439150,"MALE",153
5933684,"MALE",183
2994459,"FEMALE",152
4545731,"MALE",195
9943687,"MALE",169
